## Contenu de la case
# label: %Ordre_de_fabrication%<br><i style="color:gray;">%Article%</i><br><i style="color:gray;">%LibellÃ©%</i>
## Style de la case
## FillColor = rempliÃ§age
## StrokeColor =  contour
# style: label;whiteSpace=wrap;html=1;rounded=2;fillColor=white;strokeColor=black;
## Parent style for nodes with child nodes (placeholders are replaced once).
## parentstyle: swimlane;whiteSpace=wrap;html=1;childLayout=stackLayout;horizontal=1;horizontalStack=0;resizeParent=1;resizeLast=0;collapsible=1;
##
# stylename:OF_de_pointage 
# styles: {"IndÃ©terminÃ©":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=white;strokeColor=#666666;",\
#"CochÃ©":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=white;strokeColor=#9900CC;strokeWidth=5;",\
#"DÃ©cochÃ©":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=white;strokeColor=#666666;"}
# stylename:Atelier
# styles: {"CAB":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=#D5E8D4;strokeColor=#666666;",\
#"BRA":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=#FFE6CC;strokeColor=#666666;",\
#"MON":"label;whiteSpace=wrap;html=1;rounded=2;fillColor=#DAE8FC;strokeColor=#666666;"}
##
# vars: -
# labelname: -
# labels: -
# identity: -
# parent: -
# namespace: csvimport-
# connect: {"from": "OF_PÃ¨re", "to": "Ordre_de_fabrication", "invert": false, "style": "edgeStyle=orthogonalEdgeStyle;rounded=0;orthogonalLoop=1;jettySize=auto;html=1;"}
# left: 
# top: 
# width: auto
# height: auto
# padding: 0
# ignore:
# link: url
# nodespacing: 20
# levelspacing: 20
# edgespacing: 20
## Name or JSON of layout. Possible values are auto, none, verticaltree, horizontaltree,verticalflow, horizontalflow, organic, circle or a JSON string as used in Layout, Apply.Default is auto.
# layout: horizontalflow
## ---- CSV below this line. First line are column names. ----
,Mq,Ordre de fabrication,Article,Référence document,Libellé,Stade,Type,OF Père,Atelier,Dépôt,Date de début demandée,Date de fin demandée,Date de début  actuelle jalonnée,Date de fin actuelle jalonnée,Quantité lancée théorique,Quantité nette théorique,Quantité lancée réelle,Quantité nette réalisée,Quantité de rebut réalisée,Quantité de perte réalisée,Unité,Gestionnaire production,Plan,Priorité,Type  de  gestion,Ligne,Client,Client,Méthode de valorisation,Méthode de valorisation,N° de série,Année de création,Ann,Complet pour Fab,Fabrication en cours,Fabrication terminée,OF de pointage
,,00013223,0000001047107,20038C02,CABLE COFFRET-GENE 20038,Lancé,O.F. Normal,00013189,CAB,0101,,09/07/2021,09/07/2021,09/07/2021,"8,000","8,000",,,,,PIE,François DUCLOUX,,,AFF,,,,,DEFAUT,,2021,Décoché,Coché,Indéterminé,Indéterminé,Indéterminé
,,00013190,0000020038C02,20038C02,Coffret 3 Zones n°C7703 complément 1,Lancé,O.F. Normal,,,0101,,09/07/2021,09/07/2021,09/07/2021,"1,000","1,000",,,,,PIE,Roland SCHURHAMMER,,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
Manquants,6,00013189,20038C01-0001,20038C02,Coffret,Figé (édité),O.F. Normal,00013190,,0101,,09/07/2021,09/07/2021,09/07/2021,"1,000","1,000",,,,,PIE,François DUCLOUX,20038C01-0001,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
Manquants,2,00013188,B000000765563,20038C02,Porte ouvrant à droite,Figé (édité),O.F. Normal,00013189,,0101,,09/07/2021,09/07/2021,09/07/2021,"3,000","3,000",,,,,PIE,François DUCLOUX,20038C01-0240,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
Manquants,2,00013187,B000000765554,20038C02,Capot latéral,Figé (édité),O.F. Normal,00013189,,0101,,09/07/2021,09/07/2021,09/07/2021,"1,000","1,000",,,,,PIE,François DUCLOUX,20038C01-0220,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
Manquants,2,00013186,B000000765496,20038C02,Capot arrière,Figé (édité),O.F. Normal,00013189,,0101,,09/07/2021,09/07/2021,09/07/2021,"2,000","2,000",,,,,PIE,François DUCLOUX,20038C01-0210,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
Manquants,1,00013185,20038C01-0002,20038C02,Sous ensemble coffret sans capots,Lancé,O.F. Normal,00013189,,0101,,09/07/2021,09/07/2021,09/07/2021,"1,000","1,000",,,,,PIE,François DUCLOUX,20038C01-0002,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
,,00013184,20038C01-0040,20038C02,Module 1 zone,Lancé,O.F. Normal,00013185,,0101,,09/07/2021,09/07/2021,09/07/2021,"3,000","3,000",,,,,PIE,François DUCLOUX,20038C01-0040,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
,,00013183,20038C01-0076,20038C02,Plaque capas/inducteur équipée,Lancé,O.F. Normal,00013184,,0101,,09/07/2021,09/07/2021,09/07/2021,"3,000","3,000",,,,,PIE,François DUCLOUX,20038C01-0076,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
,,00013182,B000000772337,20038C02,Plage de raccordement thyristors/capas,Figé (édité),O.F. Normal,00013183,,0101,,09/07/2021,09/07/2021,09/07/2021,"3,000","3,000",,,,,PIE,François DUCLOUX,B000000772337,,AFF,,00003777,ARIANEGROUP SAS,OF,Coût de l'O.F. Pré-établi théo,,2021,Décoché,Indéterminé,Indéterminé,Indéterminé,Indéterminé
