## Contenu de la case
# label: %Ordre_de_fabrication%<br><i style="color:gray;">%Article%</i><br><i style="color:gray;">%Libellé%</i>
##
#stylename: Atelier
# styles: {"CAB": "fillColor=#D5E8D4;strokeColor=#666666;dashed=0;verticalAlign=top;align=center;html=1;fontSize=12;fontStyle=0;", 
"BRA": "outlineConnect=0;dashed=0;verticalLabelPosition=bottom;verticalAlign=top;align=center;html=1;fillColor=#FFE6CC;strokeColor=#666666;", "MON": "aspect=fixed;html=1;points=[];align=center;fontSize=12;fillColor=#DAE8FC;strokeColor=#666666;", "Coché": "outlineConnect=0;dashed=0;verticalLabelPosition=bottom;verticalAlign=top;align=center;html=1;fillColor=#2E73B8;", "user": "outlineConnect=0;dashed=0;verticalLabelPosition=bottom;verticalAlign=top;align=center;html=1;shape=mxgraph.aws3.user;fillColor=#D2D3D3;gradientColor=none;"}
# namespace: csvimport-
# connect: {"from": "OF_Pere", "to": "Ordre_de_fabrication", "invert": false, "style": "edgeStyle=orthogonalEdgeStyle;rounded=0;orthogonalLoop=1;jettySize=auto;html=1;"}
# left: 
# top: 
# width: auto
# height: auto
# padding: 0
# ignore:
# link: url
# nodespacing: 30
# levelspacing: 80
# edgespacing: 20
## Name or JSON of layout. Possible values are auto, none, verticaltree, horizontaltree,verticalflow, horizontalflow, organic, circle or a JSON string as used in Layout, Apply.Default is auto.
# layout: horizontalflow
## ---- CSV below this line. First line are column names. ----
﻿Mq,Ordre_de_fabrication,Article,Référence_document,Libellé,Stade,Type,OF_Pere,Atelier,Dépôt,Date_de_début_demandée,Date_de_fin_demandée,Date_de_début__actuelle_jalonnée,Date_de_fin_actuelle_jalonnée,Quantité_lancée_théorique,Quantité_nette_théorique,Quantité_lancée_réelle,Quantité_nette_réalisée,Quantité_de_rebut_réalisée,Quantité_de_perte_réalisée,Complet_pour_Fab,Fabrication_en_cours,Fabrication_terminée,OF_de_pointage
,13223,1047107,20038C02,CABLE COFFRET-GENE 20038,Lancé,O.F. Normal,13189,CAB,101,,9/7/2021,9/7/2021,9/7/2021,"8,000","8,000",,,,,Décoché,Indéterminé,Indéterminé,Indéterminé
,13190,0000020038C02,20038C02,Coffret 3 Zones n°C7703 complément 1,Lancé,O.F. Normal,,,101,,9/7/2021,9/7/2021,9/7/2021,"1,000","1,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
6,13189,20038C01-0001,20038C02,Coffret,Figé (édité),O.F. Normal,13190,,101,,9/7/2021,9/7/2021,9/7/2021,"1,000","1,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
2,13188,B000000765563,20038C02,Porte ouvrant à droite,Figé (édité),O.F. Normal,13189,,101,,9/7/2021,9/7/2021,9/7/2021,"3,000","3,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
3,13187,B000000765554,20038C02,Capot latéral,Figé (édité),O.F. Normal,13189,,101,,9/7/2021,9/7/2021,9/7/2021,"1,000","1,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
3,13186,B000000765496,20038C02,Capot arrière,Figé (édité),O.F. Normal,13189,,101,,9/7/2021,9/7/2021,9/7/2021,"2,000","2,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
4,13185,20038C01-0002,20038C02,Sous ensemble coffret sans capots,Lancé,O.F. Normal,13189,,101,,9/7/2021,9/7/2021,9/7/2021,"1,000","1,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
5,13184,20038C01-0040,20038C02,Module 1 zone,Figé (édité),O.F. Normal,13185,,101,,9/7/2021,9/7/2021,9/7/2021,"3,000","3,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
,13183,20038C01-0076,20038C02,Plaque capas/inducteur équipée,Lancé,O.F. Normal,13184,,101,,9/7/2021,9/7/2021,9/7/2021,"3,000","3,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
,13182,B000000772337,20038C02,Plage de raccordement thyristors/capas,Figé (édité),O.F. Normal,13183,,101,,9/7/2021,9/7/2021,9/7/2021,"3,000","3,000",,,,,Indéterminé,Indéterminé,Indéterminé,Indéterminé
